DATE,TEAM,NAME,POSITION,CASE,CATEGORY,DESCRIPTION,OUTCOME
11/11/06,DAL,Marcus Coleman,S,Arrested,DUI,"Pulled over in Irving, Texas, accused of drunken driving.",Resolution undetermined.
11/10/06,JAC,Khalif Barnes,OT,Arrested,DUI,"After being pulled over, he accused police officer of racism and called Jacksonville a hick town. Accused of drunken driving, he later apologized.","Pleaded no contest, six months probation, 50 hours community service, $650 fines and costs."
10/6/06,DET,Kenoy Kennedy,S,Arrested,DUI,"Pulled over in suburban Detroit, accused of drunken driving. Blood-alcohol content measured at .16.","Pleaded guilty, 18 months probation, alcohol treatment, five days community service."
10/3/06,BAL,B.J. Sams,WR,Arrested,DUI,"Pulled over by police, who said they smelled alcohol, charged with drunken driving, lane violation.","Acquitted on DUI charge, found guilty of lane violation, $90 fine."
9/26/06,KC,Jared Allen,DE,Arrested,DUI,Accused of second drunken-driving incident in five months. Also charged with speeding,Pleaded no contest. NFL suspended him two games.
9/25/06,CIN,Odell Thurman,LB,Arrested,DUI,"Pulled over, accused of drunk driving.","Pleaded no contest, $250 fine, license suspended, 90-day suspended jail sentence."
9/3/06,SD,Steve Foley,LB,Arrested,DUI,Shot by off-duty cop who followed him home and suspected him of driving drunk. Blood-alcohol level measured at .16.,"Pleaded guilty to misdemeanor, five years probation, alcohol testing, $1,756 fine. Never played again."
9/2/06,JAC,Brian Williams,CB,Arrested,DUI,"After partying, he was pulled over and accused of drunken driving. Police said he smelled of alcohol.",Acquitted at trial after first pleading no contest.
8/15/06,MIN,Koren Robinson,WR,Arrested,DUI,Accused of fleeing police and drunk driving after leading police on a high-speed chase in Minnesota.,"Pleaded no contest to felony in plea deal, 90-day jail sentence for probation violation stemming form previous DUI."
8/5/06,CIN,Eric Steinbach,OG,Arrested,DUI,"Accused of drunken boating in Cincinnati, refusing breath test.","Diversion program, 10 hours community service, safe boating class."
6/23/06,TEN,Cortland Finnegan,CB,Arrested,DUI,"Pulled over, refused breath test and accused of drunk driving.","Pleaded guilty to reckless driving, six-month suspended sentence, 20 hours of community service."
6/14/06,CIN,Chris Henry,WR,Surrendered,Alcohol,"Accused of providing alcohol to minors in hotel room he rented in Covington, Ky.","Pleaded guilty, two days in jail, with rest of 90-day jail sentence suspended."
6/12/06,SD,Vincent Jackson,WR,Arrested,DUI,"Pulled over in San Diego, charged with drunk driving. Blood-alcohol measured at .13.","Pleaded guilty, $1,750, five years of probation."
6/3/06,CIN,Chris Henry,WR,Arrested,DUI,"Pulled over in Cincinnati for speeding, accused of drunk driving. Blood-alcohol measured at .09.","Pleaded guilty to reckless operation of a vehicle, $250 fine, 30-day suspended sentence."
5/26/06,DEN,Karl Paymah,CB,Arrested,DUI,Police said they found him asleep behind the wheel of his Land Rover off the road near Denver while vehicle was still running.,"Found guilty of driving under the influence, 24 hours of community service, $542 fine, alcohol treatment."
5/16/06,MIA,Keith Traylor,DT,Arrested,"DUI, drugs","Pulled over in Oklahoma, accused of drunk driving, possession of a controlled substance and breaking smoke detector at jail.","Sentenced to one year of probation, one year deferred sentence, paid $100 to replace smoke detector."
5/11/06,KC,Jared Allen,DE,Arrested,DUI,"Pulled over for speeding, accused of drunk driving in Overland Park, Kansas.","Diversion program that barred him from drinking, but he later got arrested again in 2006."
11/9/05,NO,Fakhir Brown,CB,Arrested,DUI,"Pulled over in San Antonio, accused of driving while intoxicated.",Charge dropped.
11/1/05,CLE,Reuben Droughns,RB,Arrested,DUI,"Pulled over in Ohio, accused of speeding, failing breath test and drunk driving. Blood-alcohol measured at .08.",Acquitted at trial.
10/31/05,SD,Derreck Robinson,DE,Arrested,DUI,"Accused of drunken driving after police heard single-car crash into center divider on interstate highway near La Mesa, Calif.","Guilty, six-month suspended sentence, five years of probation, $1,850 fine."
10/26/05,NO,Courtney Watson,LB,Arrested,DUI,"Pulled over in San Antonio, accused of driving while intoxicated and having an open alcohol container.","Pleaded no contest, probation, $1,365 fines and costs."
9/23/05,DEN,D.J. Williams,LB,Arrested,DUI,"Accused of drunk driving in Douglas County, Colo.","Pleaded guilty to impaired driving, probation, 24 hours of community service."
9/13/05,TB,Torrie Cox,CB,Arrested,DUI,Pulled over after police said his 2005 Dodge Magnum was drifting. Police said they smelled alcohol and accused him of drunk driving.,"Pleaded no contest, community service, alcohol treatment."
8/15/05,BAL,B.J. Sams,WR,Arrested,DUI,"Pulled over, accused of drunk driving in Maryland.","Pleaded to charge of driving while impaired, probation."
7/10/05,MIA,Randy McMichael,TE,Arrested,"Domestic violence, alcohol",Witnesses said he gave his wife a bloody nose in Georgia. He acknowledged drinking and was accused of battery and criminal trespass.,"Pleaded guilty to criminal trespass, three months of probation, $500 fine."
6/25/05,DET,David Kircus,WR,Arrested,DUI,"Pulled over in Ottawa County, Mich., for driving erratically, accused of drunk driving. Blood-alcohol at .15.","Pleaded guilty to misdemeanor, $850 in fines and costs, one day in jail with credit for time served."
6/23/05,MIA,Quintin Williams,S,Arrested,DUI,"Pulled over near team practice facilility after being clocked at 111 mph, accused of drunk driving and drag racing.","Pleaded guilty to reckless driving, six months of probation and cut by the team a day later."
5/6/05,SEA,Koren Robinson,WR,Arrested,DUI,"Pulled over in Seattle suburb, accused of drunk driving. Blood-alcohol of .191","Pleaded guilty, two years probation, one day in jail, fined $2, 137."
2/17/05,TEN,Tank Williams,S,Arrested,DUI,"Pulled over in Nashville after police said he failed to fully stop at stop sign, accused of drunken driving.","Pleaded guilty to reckless endangerment, required to complete alcohol safety program."
12/20/04,OAK,Charles Woodson,S,Arrested,Alcohol,"Briefly jailed in downtown Oakland after allegedly refusing to leave a woman's car around 4 a.m., accused of being drunk in public.",Charges dropped.
12/20/04,OAK,Marques Anderson,S,Arrested,Alcohol,"Briefly jailed in downtown Oakland after allegedly refusing to leave a woman's car around 4 a.m., accused of being drunk in public.",Charges dropped.
12/15/04,CAR,Todd Sauerbrun,P,Arrested,DUI,"Pulled over in Charlotte, accused of speeding and drunk driving.","Pleaded guilty to driving while impaired, $100 fine, one year of probation, 30-day driving ban in state."
12/4/04,TB,Torrie Cox,CB,Arrested,DUI,"Pulled over in Tampa about 3 a.m., accused of drunk driving.","Pleaded guilty to reckless driving, probation, benched."
12/3/04,HOU,Bryan Pittman,C,Arrested,DUI,Accused of driving while intoxicated.,Acquitted.
11/16/04,CLE,Paul Zukauskas,OG,Arrested,DUI,"Pulled over in Ohio, accused of drunk driving and failing sobriety tests.",Acquitted. NFL suspended him one game.
10/28/04,WAS,Sean Taylor,S,Arrested,DUI,"Pulled over for speeding, accused of drunk driving and refusing to take a breath test in Virginia.",Acquitted.
10/5/04,CIN,Justin Smith,DE,Arrested,DUI,"Pulled over for weaving near Dayton, Ohio, accused of drunk driving. Blood-alcohol content measured at .152.","Pleaded guilty, three-day weekend intervention, $300 fine, $94 in court costs."
9/20/04,KC,Eric Warfield,CB,Arrested,DUI,"Pulled over in Overland Park, Kan., accused of drunk driving, his third DUI arrest. Blood-alcohol measured at .189. T","Pleaded no contest to felony, 80 days of house arrest, 10 days in jail, $1,500 fine, suspended four games."
7/18/04,NE,Marquise Walker,WR,Arrested,DUI,"Accused of drunk driving in Tampa, Fla., after rear-ending another car. Blood-alcohol measured at .179.",Team released him within a week.
6/27/04,ARI,Wendell Bryant,DT,Arrested,DUI,"Pulled over in Madison, Wis., accused of several traffic violations and drunk driving.","Pleaded no contest, $660 in fines and court costs, driver's license suspended for six months, suspended four games."
5/6/04,HOU,Marcus Coleman,S,Arrested,DUI,"Accused of hitting a curb with his Mercedes, failing a sobriety test and drunk driving in Houston.","Found guilty by jury, three days in jail, $2,000 fine and a one-year suspension of his driver's license."
4/27/04,NO,Jay Bellamy,S,Arrested,DUI,"Pulled over about 12:50 a.m., accused of drunk driving in his 2002 Cadillac.",Resolution undetermined.
4/24/04,STL,Leonard Little,DE,Arrested,DUI,"Pulled over about 3:45 a.m. near St. Louis, accused of speeding and drunk driving. He previously drove drunk in 1998 accident that killed a woman.","Acquitted on drunk-driving charge by jury, convicted of speeding."
4/10/04,MIN,E.J. Henderson,LB,Arrested,DUI,"Pulled over in Interstate 95 in Maryland, accused of drunk driving.","Convicted, two years of probation, $1,020 in fines and costs, ordered to attend shock trauma tour at hospital."
4/3/04,IND,Joseph Jefferson,CB,Arrested,DUI,Accused of drunk driving after driving his Chevrolet Impala into a ditch in Indiana. Blood-alcohol measured at .15.,"Pleaded guilty, sentenced to 30 days in jail before he sought a new attorney and new trial."
2/15/04,TEN,Jason Gesser,QB,Arrested,DUI,"Pulled over in Honululu for running a red light, accused of drunk driving.","Pleaded guilty, 14 hours of alcohol abuse classes, $150 fine, $307 in court fees, 30-day license suspension."
1/14/04,SF,Jeff Garcia,QB,Arrested,DUI,"Pulled over in San Jose, accused of drunk driving. Blood-alcohol measured at .219.","Pleaded guilty, three years of probation, $1,491 fine, eight days of community service."
11/18/03,MIN,Kenny Mixon,DE,Arrested,DUI,"Pulled over in Deephaven, Min., accused of drunken driving. It was his third drunken driving arrest in the county in 16 months.","Found guilty, 216 hours of community service, 30 days in the county workhouse, 60 days house arrest."
11/17/03,IND,Joseph Jefferson,CB,Arrested,"DUI, gun","Accused of drunken driving in Bowling Green, Ky., after police saw him driving in a parking lot. He also had a gun on the passenger seat.",Pleaded guilty to driving with a suspended license.
11/17/03,MIN,Kevin Williams,DT,Arrested,DUI,"Pulled over in Edina, Min., accused of drunk driving. Blood-alcohol measured at .14.","Pleaded guilty to careless driving, $300 fine, 30-day suspended sentence."
10/27/03,CLE,William Green,RB,Arrested,"DUI, drugs","Pulled over, accused of drunk driving and having a bag of marijuana in his car. Blood-alcohol measured at .165.","Convicted, sentenced to three days in jail in February. NFL suspension of four games."
10/7/03,CHI,Rabih Abdullah,RB,Arrested,DUI,"Police said his SUV rolled over and gave him a concussion, accused him of drunk driving.","Pleaded guilty to DUI, sentenced to one year of probation, #1,344 fines and costs."
10/1/03,NYJ,John Abraham,DE,Arrested,DUI,"Accused of refusing a sobriety test, drunk driving after crashing Hummer into fire hydrant in Baldwin, N.Y.","Pleaded guilty to reduced charge of driving while impaired, fined $330, benched by team for one game."
9/16/03,CAR,Jarrod Cooper,S,Arrested,"DUI, drugs","Pulled over for speeding, accused of drunk driving, possession of a controlled substance (Xanax) without a prescription.","Pleaded guilty to driving while impaired, one year deferred sentence, one year probation, four-game NFL suspension."
9/14/03,SD,Matt Wilhelm,LB,Arrested,DUI,Police suspected him of drunk driving in San Diego. He acknowledged making a mistake.,"Found guilty, five years probation, $1,700 fine, 180-day suspended jail sentence."
9/10/03,BUF,Rodney Wright,WR,Arrested,DUI,"Accused of refusing breath test, drunk driving, driving without a license and unsafe lane changes after three-car accident in which three were hurt.",Resolution undetermined. Released by team within hours.
8/18/03,BAL,Chris McAlister,CB,Arrested,DUI,"Accused of drunk driving in Northern Virginia, forcing him to miss team practice.",Charge dropped for lack of evidence.
7/25/03,MIN,Mike Nattiel,LB,Arrested,DUI,Accused of drunk driving in Minnesota just hours before he was to report to the start of training camp in Mankato.,"Pleaded guilty to careless driving, 30-day suspended sentence, one year of probation."
5/25/03,WAS,Jermaine Haley,DT,Arrested,DUI,"Pulled over in Miami, accused of drunk driving and property damage after hitting another car with his Land Rover.","Pleaded no contest to reduced charge of reckless driving, one year probation, ordered to donate $3,000."
5/22/03,TEN,Steve McNair,QB,Arrested,"DUI, gun","Pulled over in Nashville, accused of drunk driving. Police also found pistol in his Lincoln Navigator.",Charges dropped after the judge said police didn't have sufficient reason to stop him.
5/3/03,HOU,Ramon Walker,S,Arrested,Alcohol,Accused of public intoxication and trespassing at a nightclub in Houston after he and a friend denied entry around midnight.,Resolution undetermined.
4/27/03,WAS,Bruce Smith,DE,Arrested,DUI,"Pulled over for speeding in Virginia Beach, accused of drunk driving and failing a sobriety test. Blood-alcohol measured at .07.",Acquitted by judge.
4/3/03,SEA,Jerramy Stevens,TE,Arrested,DUI,"Pulled over in Medina, Wash., for rolling through a stop sign, accused of drunk driving. Blood-alcohol measured at .14.","Pleaded guilty to reckless driving, two days in jail, 25 hours of community service, $1,000 fine."
3/13/03,KC,Eric Warfield,CB,Arrested,DUI,"Accused of failing to maintain a single lane and drunk driving in Overland Park, Kan.","Pleaded no contest, 175 days of parole, two days in jail, three days under house arrest."
1/4/03,CHI,Damon Moore,S,Arrested,DUI,"Accused of driving wrong way on highway ramp in Columbus, Ohio, drunk driving, causing minor accident. Blood-alcohol measured at .18.","Found guilty, community service, released from team in April 2003."
1/3/03,MIN,Kenny Mixon,DE,Arrested,DUI,"Pulled over for speeding shortly after 3 a.m., accused of drunken driving, refusing sobriety test.",Acquitted by jury.
12/28/02,DEN,John Mobley,LB,Arrested,DUI,Accused of speeding and driving drunk south of Denver. He failed a sobriety test.,"Convicted, sentenced to seven days in jail, 100 hours of public service, two years probation."
11/28/02,CAR,Lamar Smith,RB,Arrested,DUI,"Pulled over by a state trooper in Mecklenburg County, accused of driving while impaired, speeding and reckless driving.",Resolution undetermined. Team placed him on paid leave the next day and released him in March 2003.
11/18/02,NO,Victor Riley,OT,Arrested,DUI,"Pulled over in New Orleans, accused of disobeying traffic signals and driving while intoxicated. Taken to jail at 2:25 a.m.",Resolution undetermined.
10/18/02,CHI,Bryan Robinson,DE,Arrested,DUI,"Pulled over at 2:30 a.m., accused of driving with a suspended license, drunk driving and refusing a breath test, his second DUI arrest since June.","Pleaded guilty, 360 hours of community service, alochol treatment, 18 months probation."
10/2/02,OAK,Sebastian Janikowski,K,Arrested,DUI,"Pulled over in Oakland, accused of drunk driving. Blood-alcohol measured at .20.","Pleaded no contest to misdemeanor DUI, three years of probation, $1,292 fine, DUI school."
9/25/02,KC,Lew Bush,LB,Arrested,DUI,"Pulled over and ticketed for straddling a lane, accused of drunk driving, refusing sobriety test.","Guilty, driver's license suspended."
8/31/02,KC,Willie Roaf,OT,Arrested,DUI,"Pulled over, accused of drunk driving in Wyandotte County, Kan.",Diversion program.
8/25/02,OAK,Darrell Russell,DT,Arrested,DUI,"Pulled over for speeding in Nevada, accused of drunk driving and failing a sobriety test after visiting a brothel.","Pleaded guilty, ordered to attend DUI school, 48 hours of community service."
7/23/02,MIN,Kenny Mixon,DE,Arrested,DUI,"Pulled over in Deephaven, Min., accused of drunken driving, refusing sobriety test.","Pleaded guilty, 30 days in the county workhouse or 16 days of community service within three months."
7/6/02,SF,Mike Rumph,CB,Arrested,DUI,"Pulled over after police said he ran stop signs in his Escalade, accused of drunk driving in Miami.",Acquitted.
6/23/02,CHI,Bryan Robinson,DE,Arrested,DUI,"Accused of drunk driving in Lake County, Ill.","Pleaded guilty, driver's license suspended."
6/9/02,NE,Chris Sullivan,DE,Arrested,DUI,"Police found Sullivan in a parking lot, where they determined he had been driving drunk after team Super Bowl ring party.",Resolution undetermined. Team cut him the next month.
5/18/02,SF,Vinny Sutherland,WR,Arrested,DUI,Accused of a hit-and-run accident and drunk driving in Saratoga. Two teammates suffered minor injuries in the wreck.,"Pleaded no contest, sentenced to 20 days in Santa Clara County jail. It was his second DUI in 10 months."
3/13/02,ARI,David Boston,WR,Arrested,"DUI, drugs",Accused of driving under the influence of cocaine and marijuana after testing positive for those drugs. He was arrested at his home after two people called 911.,"Pleaded no contest to misdemeanors, suspended sentence."
2/8/02,CAR,Jarrod Cooper,S,Arrested,DUI,"Accused of drunk driving, losing control of his car in a single-car accident in North Carolina. Blood-alcohol measured at .18.","Pleaded no contest, one year of probation, 90-day suspended sentence, $800 fine."
12/24/01,PIT,Plaxico Burress,WR,Cited,Alcohol,Cited for carrying an open container of alcohol (beer) in the Cleveland warehouse district.,"Pleaded no contest, $50 fine, $100 court costs."
12/18/01,KC,Eric Warfield,CB,Arrested,DUI,"Pulled over after police saw him weaving in traffic, accused of drunk driving in Lenexa, Kan.","Diversion program, later revoked when he was arrested again in 2003."
11/19/01,CLE,Mike Sellers,FB,Arrested,"DUI, drugs","Pulled over in Cleveland with teammate Lamar Champan, accused of speeding, drunk driving and marijuana and cocaine possesssion.",Pleaded guilty to drunk driving. Team cut him a week after arrest.
11/11/01,JAC,Jimmy Smith,WR,Arrested,DUI,"Pulled over for speeding in Jacksonville, accused of drunk driving. Tests later showed cocained in his system. Blood-alcohol measured below limit at .05.",Charge dropped.
10/25/01,ARI,Ray Thompson,LB,Arrested,DUI,"Accused of drunken driving after crash in Gilbert, Ariz.",Resolution undetermined. Team fined and deactivated him after missing practice due to accident.
9/14/01,SF,Vinny Sutherland,WR,Arrested,DUI,"Pulled over on Highway 101 in Bay Area , accused of drunk driving.","Pleaded guilty to reduced charge of reckless driving, rehab, two years of probation."
8/26/01,CIN,Tom Barndt,DT,Arrested,DUI,"Pulled over in Covington, Ky., accused of drunk driving.",Resolution undetermined. Team released him the next week.
7/14/01,CHI,Paul Edinger,K,Arrested,DUI,"Accused of drunk driving and crashing into mailboxes in Punta Gorda, Fla.",Pleaded guilty to a reduced charge of reckless driving.
7/4/01,MIA,Ben Kelly,CB,Arrested,DUI,"Accused of bumping into a parked police car, drunk driving and refusing breath test in Miami.",Acquitted by jury.
6/16/01,TB,Alex Ardley,CB,Charged,DUI,"Accused of drunk driving and crashing Deuce McAllister's SUV into a house in Tallahassee, Fla.","Pleaded guilty to a reduced charge, 150 hours of community service, released by team the next day."
3/3/01,MIA,Jermaine Haley,DT,Arrested,DUI,"Accused of drunk driving in Miami Beach, bottle of vodka found in his SUV. Blood-alcohol measured at .22.","Pleaded no contest, 50 hours of community service, $500 fine, six months of probation."
2/8/01,CIN,Akili Smith,QB,Arrested,DUI,"Pulled over for driving the wrong way down a one-way street in San Diego, accused of drunk driving.",Acquitted.
11/20/00,MIN,John Davis,TE,Arrested,DUI,"Police said they found his vehicle stopped in the road with him sleeping behind wheel, accused of drunk driving in Wayzata, Minn.","Pleaded guilty to careless driving, fined $700, but $500 of it stayed along with 40-day jail sentence."
10/28/00,DEN,Brian Griese,QB,Arrested,DUI,"Pulled over for speeding near Denver, accused of drunk driving, failing sobriety tests.","Pleaded guilty, one year of probation."
8/13/00,NO,Darren Perry,S,Arrested,DUI,"Accused of drunk driving, hit-and-run and rear-ending another car near New Orleans. Police pursued him after seeing him swerving in traffic.",Resolution undetermined.
7/18/00,MIA,Patrick Surtain,CB,Arrested,DUI,"Pulled over in Miami for speeding, accused of drunk driving, refusing breath test.","Pleaded no contest to reckless driving, 50 hours of community service, $25,000 donation to MADD."
5/24/00,OAK,Charles Woodson,CB,Arrested,DUI,"Accused of drunk driving and driving with a suspended license in Ann Arbor, Mich. Blood-alcohol measured at .24.","Pleaded guilty to driving while impaired, 60 hours of community service."
5/19/00,GB,Marco Rivera,OG,Arrested,DUI,"Pulled over for speeding at 95 mph in Brown County, accused of drunk driving. Blood-alcohol measured at .19.","Pleaded no contest, $455 speeding ticket, $675 DUI fine."
5/13/00,WAS,Mike Sellers,FB,Arrested,DUI,"Pulled over in Arlington, Va., after police said his Mercedes was weaving, accused of drunk driving.","Convicted of DUI, 18-month suspended jail sentence, one-year license suspension."
3/31/00,MIN,Chris Walsh,WR,Arrested,DUI,"Pulled over near his home in Scottsdale, Ariz., accused of drunk driving. Blood-alcohol measured at .229.","Pleaded guilty to drunk driving, $1,277 fine, 12 days in jail, alcohol treatment."
2/19/00,TEN,Benji Olson,OG,Arrested,DUI,"Pulled over at a shopping center in Hopkinsville, Ky., accused of drunk driving. Blood-alcohol measured at .09.","Pleaded to a reduced charge of failing to operate vehicle carefully. Fined $100, plus costs."
